total_vaccs,ppl_vaccd,ppl_fully_vaccd,daily_vaccs,total_vaccs_per_100,ppl_fully_vaccd_per_100,daily_vaccs_per_million
0,0,3041823.96,112209.42,0,11.26,3376.55
1094522.96,5341596.08,3041823.96,1367,27.29,11.26,35
1094522.96,5341596.08,3041823.96,1367,27.29,11.26,35
1094522.96,5341596.08,3041823.96,1367,27.29,11.26,35
1094522.96,5341596.08,3041823.96,1367,27.29,11.26,35
1094522.96,5341596.08,3041823.96,1367,27.29,11.26,35
8200,8200,3041823.96,1367,0.02,11.26,35
1094522.96,5341596.08,3041823.96,1580,27.29,11.26,41
1094522.96,5341596.08,3041823.96,1794,27.29,11.26,46
1094522.96,5341596.08,3041823.96,2008,27.29,11.26,52
1094522.96,5341596.08,3041823.96,2221,27.29,11.26,57
1094522.96,5341596.08,3041823.96,2435,27.29,11.26,63
1094522.96,5341596.08,3041823.96,2649,27.29,11.26,68
1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74
1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74
1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74
1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74
1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74
1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74
1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74
1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74
1094522.96,5341596.08,3041823.96,2862,27.29,11.26,74
54000,54000,3041823.96,2862,0.14,11.26,74
1094522.96,5341596.08,3041823.96,2882,27.29,11.26,74
1094522.96,5341596.08,3041823.96,2902,27.29,11.26,75
1094522.96,5341596.08,3041823.96,2921,27.29,11.26,75
1094522.96,5341596.08,3041823.96,2941,27.29,11.26,76
1094522.96,5341596.08,3041823.96,2961,27.29,11.26,76
1094522.96,5341596.08,3041823.96,2980,27.29,11.26,77
1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77
1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77
1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77
1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77
1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77
1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77
1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77
1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77
1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77
1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77
1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77
1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77
1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77
1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77
1094522.96,5341596.08,3041823.96,3000,27.29,11.26,77
120000,120000,3041823.96,3000,0.31,11.26,77
1094522.96,5341596.08,3041823.96,3714,27.29,11.26,95
1094522.96,5341596.08,3041823.96,4429,27.29,11.26,114
1094522.96,5341596.08,3041823.96,5143,27.29,11.26,132
1094522.96,5341596.08,3041823.96,5857,27.29,11.26,150
1094522.96,5341596.08,3041823.96,6571,27.29,11.26,169
1094522.96,5341596.08,3041823.96,7286,27.29,11.26,187
1094522.96,5341596.08,3041823.96,8000,27.29,11.26,206
1094522.96,5341596.08,3041823.96,8000,27.29,11.26,206
1094522.96,5341596.08,3041823.96,8000,27.29,11.26,206
1094522.96,5341596.08,3041823.96,8000,27.29,11.26,206
1094522.96,5341596.08,3041823.96,8000,27.29,11.26,206
1094522.96,5341596.08,3041823.96,8000,27.29,11.26,206
1094522.96,5341596.08,3041823.96,8000,27.29,11.26,206
1094522.96,5341596.08,3041823.96,8000,27.29,11.26,206
240000,240000,3041823.96,8000,0.62,11.26,206
1094522.96,5341596.08,3041823.96,8846,27.29,11.26,227
1094522.96,5341596.08,3041823.96,9692,27.29,11.26,249
1094522.96,5341596.08,3041823.96,10538,27.29,11.26,271
1094522.96,5341596.08,3041823.96,11384,27.29,11.26,292
1094522.96,5341596.08,3041823.96,12229,27.29,11.26,314
1094522.96,5341596.08,3041823.96,13075,27.29,11.26,336
1094522.96,5341596.08,3041823.96,13921,27.29,11.26,358
1094522.96,5341596.08,3041823.96,13921,27.29,11.26,358
1094522.96,5341596.08,3041823.96,13921,27.29,11.26,358
1094522.96,5341596.08,3041823.96,13921,27.29,11.26,358
1094522.96,5341596.08,3041823.96,13921,27.29,11.26,358
1094522.96,5341596.08,3041823.96,13921,27.29,11.26,358
1094522.96,5341596.08,3041823.96,13921,27.29,11.26,358
1094522.96,5341596.08,3041823.96,13921,27.29,11.26,358
1094522.96,5341596.08,3041823.96,13921,27.29,11.26,358
1094522.96,5341596.08,3041823.96,13921,27.29,11.26,358
1094522.96,5341596.08,3041823.96,13921,27.29,11.26,358
1094522.96,5341596.08,3041823.96,13921,27.29,11.26,358
504502,448878,55624,13921,1.3,0.14,358
1094522.96,5341596.08,3041823.96,12621,27.29,11.26,324
1094522.96,5341596.08,3041823.96,11321,27.29,11.26,291
1094522.96,5341596.08,3041823.96,10022,27.29,11.26,257
1094522.96,5341596.08,3041823.96,8722,27.29,11.26,224
1094522.96,5341596.08,3041823.96,7422,27.29,11.26,191
1094522.96,5341596.08,3041823.96,6122,27.29,11.26,157
1094522.96,5341596.08,3041823.96,4822,27.29,11.26,124
1094522.96,5341596.08,3041823.96,4822,27.29,11.26,124
547901,470341,77560,4822,1.41,0.2,124
1094522.96,5341596.08,3041823.96,5040,27.29,11.26,129
1094522.96,5341596.08,3041823.96,5257,27.29,11.26,135
1094522.96,5341596.08,3041823.96,5474,27.29,11.26,141
573277,476367,96910,5692,1.47,0.25,146
1094522.96,5341596.08,3041823.96,6230,27.29,11.26,160
590454,479372,111082,6768,1.52,0.29,174
593313,479574,113739,6487,1.52,0.29,167
1094522.96,5341596.08,3041823.96,5907,27.29,11.26,152
1094522.96,5341596.08,3041823.96,5326,27.29,11.26,137
600152,480226,119926,4746,1.54,0.31,122
1094522.96,5341596.08,3041823.96,5084,27.29,11.26,131
1094522.96,5341596.08,3041823.96,5102,27.29,11.26,131
626290,481690,144600,5119,1.61,0.37,131
630305,481800,148505,5285,1.62,0.38,136
1094522.96,5341596.08,3041823.96,5273,27.29,11.26,135
1094522.96,5341596.08,3041823.96,5261,27.29,11.26,135
1094522.96,5341596.08,3041823.96,5250,27.29,11.26,135
1094522.96,5341596.08,3041823.96,4319,27.29,11.26,111
641295,482952,158343,3388,1.65,0.41,87
1094522.96,5341596.08,3041823.96,2637,27.29,11.26,68
1094522.96,5341596.08,3041823.96,2556,27.29,11.26,66
1094522.96,5341596.08,3041823.96,2735,27.29,11.26,70
1094522.96,5341596.08,3041823.96,2914,27.29,11.26,75
1094522.96,5341596.08,3041823.96,3093,27.29,11.26,79
662003,484737,177266,3272,1.7,0.46,84
1094522.96,5341596.08,3041823.96,4813,27.29,11.26,124
1094522.96,5341596.08,3041823.96,6175,27.29,11.26,159
1094522.96,5341596.08,3041823.96,7538,27.29,11.26,194
1094522.96,5341596.08,3041823.96,8900,27.29,11.26,229
1094522.96,5341596.08,3041823.96,10262,27.29,11.26,264
1094522.96,5341596.08,3041823.96,11624,27.29,11.26,299
1094522.96,5341596.08,3041823.96,12986,27.29,11.26,334
765890,582128,183762,12986,1.97,0.47,334
1094522.96,5341596.08,3041823.96,13125,27.29,11.26,337
1094522.96,5341596.08,3041823.96,13264,27.29,11.26,341
1094522.96,5341596.08,3041823.96,13404,27.29,11.26,344
1094522.96,5341596.08,3041823.96,13543,27.29,11.26,348
835694,649434,186260,13682,2.15,0.48,351
1094522.96,5341596.08,3041823.96,14263,27.29,11.26,366
1094522.96,5341596.08,3041823.96,14844,27.29,11.26,381
886854,699200,187654,15286,2.28,0.48,393
1094522.96,5341596.08,3041823.96,14115,27.29,11.26,363
1094522.96,5341596.08,3041823.96,12944,27.29,11.26,333
1094522.96,5341596.08,3041823.96,11773,27.29,11.26,302
1094522.96,5341596.08,3041823.96,10602,27.29,11.26,272
915671,726349,189322,8989,2.35,0.49,231
0,0,3041823.96,112209.42,0,11.26,3376.55
1094522.96,5341596.08,3041823.96,64,27.29,11.26,22
128,128,3041823.96,64,0,11.26,22
188,188,3041823.96,63,0.01,11.26,22
266,266,3041823.96,66,0.01,11.26,23
308,308,3041823.96,62,0.01,11.26,22
369,369,3041823.96,62,0.01,11.26,22
405,405,3041823.96,58,0.01,11.26,20
447,447,3041823.96,55,0.02,11.26,19
483,483,3041823.96,51,0.02,11.26,18
519,519,3041823.96,47,0.02,11.26,16
549,549,3041823.96,40,0.02,11.26,14
1094522.96,5341596.08,3041823.96,34,27.29,11.26,12
1094522.96,5341596.08,3041823.96,26,27.29,11.26,9
1094522.96,5341596.08,3041823.96,21,27.29,11.26,7
1094522.96,5341596.08,3041823.96,15,27.29,11.26,5
1094522.96,5341596.08,3041823.96,9,27.29,11.26,3
1094522.96,5341596.08,3041823.96,4,27.29,11.26,1
1094522.96,5341596.08,3041823.96,0,27.29,11.26,0
1094522.96,5341596.08,3041823.96,0,27.29,11.26,0
1094522.96,5341596.08,3041823.96,0,27.29,11.26,0
1094522.96,5341596.08,3041823.96,0,27.29,11.26,0
1094522.96,5341596.08,3041823.96,0,27.29,11.26,0
550,549,1,0,0.02,0,0
1094522.96,5341596.08,3041823.96,12,27.29,11.26,4
1094522.96,5341596.08,3041823.96,24,27.29,11.26,8
1094522.96,5341596.08,3041823.96,35,27.29,11.26,12
1094522.96,5341596.08,3041823.96,47,27.29,11.26,16
1094522.96,5341596.08,3041823.96,59,27.29,11.26,21
1094522.96,5341596.08,3041823.96,71,27.29,11.26,25
1127,689,438,82,0.04,0.02,28
1094522.96,5341596.08,3041823.96,81,27.29,11.26,28
